Nom,Descripció,Preu,Imatge,Imatge 2,Imatge 3,Categoria
Vaquero slim fit,Pantalones Slim fit Azul,49.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/459688/item/eugoods_65_459688_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/459688/sub/eugoods_459688_sub14_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/459688/sub/eugoods_459688_sub15_3x4.jpg?width=400,hombre
Vaquero Selvedge elástico slim fit ,Vaquero Selvedge elástico slim fit Negro,49.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/418910/item/eugoods_09_418910_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/418910/sub/goods_418910_sub13_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/418910/sub/goods_418910_sub14_3x4.jpg?width=400,hombre
Vaquero Selvedge elástico slim fit ,Vaquero Selvedge elástico slim fit Azul Marino,39.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/418910/item/eugoods_09_418910_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/418910/sub/goods_418910_sub13_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/418910/sub/goods_418910_sub14_3x4.jpg?width=400,hombre
Vaquero EZY,Vaquero EZY Azul,49.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/455476/item/eugoods_68_455476_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/455476/sub/eugoods_455476_sub1_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/455476/sub/goods_455476_sub13_3x4.jpg?width=400,todos
Vaquero recto ancho,Vaquero recto ancho Azul claro,39.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/470542/item/eugoods_60_470542_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/470542/sub/goods_470542_sub13_3x4.jpg?width=400,,hombre
Vaquero confort elástico tobillero,Vaquero confort elástico tobillero Negro,29.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/461420/item/eugoods_07_461420_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/461420/sub/eugoods_461420_sub1_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/461420/sub/goods_461420_sub13_3x4.jpg?width=400,todos
Pantalón corto vaquero ,Pantalón corto vaquero Azul Claro,29.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477165/item/eugoods_64_477165_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/477165/sub/eugoods_477165_sub1_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/477165/sub/goods_477165_sub14_3x4.jpg?width=400,todos
Pantalón corto confort elástico,Pantalón corto confort elástico Gris,24.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/476081/item/eugoods_08_476081_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/476081/sub/eugoods_476081_sub1_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/476081/sub/goods_476081_sub13_3x4.jpg?width=400,todos
Pantalón corto lino mezcla (rayas),Pantalón corto lino mezcla (rayas) Azul,29.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/470629/item/eugoods_63_470629_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/470629/sub/goods_470629_sub14_3x4.jpg?width=400,,hombre
Pantalón corto cargo ancho,Pantalón corto cargo ancho Marrón,19.90,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/476194/item/eugoods_34_476194_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/eu/imagesgoods/476194/sub/eugoods_476194_sub7_3x4.jpg?width=400,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/476194/sub/goods_476194_sub14_3x4.jpg?width=400,hombre
